Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
3.82386E-8,0.000003824,0.000305122,1,0,0
4.10285E-8,0.000012027,0.000327376,0.999812101,0,0
9.08226E-8,0.000031167,0.000724408,0.999530252,0,0
1.37362E-7,0.000058466,0.001095206,0.999342352,0,0
2.20699E-7,0.000100841,0.001758492,0.999154453,0,0
3.62487E-7,0.000256509,0.002884973,0.998684705,0,0
5.22637E-7,0.0005006,0.004154285,0.998214957,0,0
7.27578E-7,0.001048602,0.005773888,0.99746336,0,0
1.38102E-6,0.002627327,0.01090295,0.996054115,0,0
2.02243E-6,0.005022869,0.015886327,0.99473882,0,0
2.89001E-6,0.010245477,0.022547533,0.992859827,0,0
4.70706E-6,0.025076837,0.036210622,0.989195791,0,0
6.25323E-6,0.050134398,0.047539536,0.984874107,0.004366812,0
9.00211E-6,0.100244027,0.06703672,0.978579481,0.013100437,0
1.30207E-5,0.201079071,0.094144603,0.969936114,0.020378457,0
1.66525E-5,0.301360914,0.117323716,0.963547539,0.020378457,0
1.82875E-5,0.401577487,0.127375115,0.958192409,0.023289665,0
1.89123E-5,0.500069278,0.131156178,0.953213078,0.023289665,0
1.98611E-5,0.600782628,0.136835811,0.948327696,0.026200873,0
2.07131E-5,0.700358913,0.141873109,0.943724164,0.027656477,0
2.10355E-5,0.75050988,0.14376369,0.941469372,0.027656477,0
2.14226E-5,0.801421384,0.146023458,0.939214581,0.029112082,0
2.20281E-5,0.901241914,0.149533367,0.934892897,0.03202329,0
2.28427E-5,1.00023054,0.1542106,0.930759113,0.033478894,0
2.35455E-5,1.102224149,0.158204398,0.926625329,0.034934498,0
2.44487E-5,1.200691994,0.16328192,0.922773393,0.034934498,0
2.51835E-5,1.302428929,0.167368366,0.918921458,0.034934498,0
2.60179E-5,1.402350994,0.171960139,0.915257422,0.036390102,0
2.67293E-5,1.502638728,0.175834818,0.911687336,0.037845706,0
2.80257E-5,1.752014345,0.182804384,0.903137918,0.03930131,0
2.93175E-5,2.001600135,0.189632267,0.894964299,0.042212518,0
3.05263E-5,2.253049703,0.195919343,0.887072529,0.04657933,0
3.1917E-5,2.503016109,0.203032849,0.879556558,0.04657933,0
3.33435E-5,2.750650577,0.210199895,0.872416385,0.04657933,0
3.43394E-5,3.001032666,0.215127329,0.865464111,0.04657933,0
3.53789E-5,3.251753005,0.220205711,0.858699737,0.04657933,0
3.63178E-5,3.502748434,0.224735912,0.852123262,0.04657933,0
3.74735E-5,3.753301301,0.230241181,0.845734686,0.04657933,0
3.84705E-5,4.000387387,0.234927504,0.839627959,0.04657933,0
3.94237E-5,4.253576627,0.239355406,0.833521233,0.04657933,0
4.04922E-5,4.501186669,0.244258049,0.827696355,0.055312955,0
4.13195E-5,4.750737439,0.248010596,0.821965427,0.059679767,0
4.22684E-5,5.001631269,0.252269545,0.816328448,0.065502183,0
4.31393E-5,5.253233739,0.256135975,0.810785419,0.068413392,0
4.40104E-5,5.501718436,0.259963395,0.805430289,0.072780204,0
4.46001E-5,5.754429972,0.262532059,0.80007516,0.072780204,0
4.51668E-5,6.001471348,0.264984132,0.794907929,0.072780204,0
4.58001E-5,6.251827798,0.267704859,0.789740699,0.072780204,0
4.62763E-5,6.500359506,0.269737415,0.784667418,0.072780204,0
4.68463E-5,6.752009145,0.272155612,0.779594138,0.074235808,0
4.75265E-5,7.002069766,0.275020455,0.774614806,0.074235808,0
4.80055E-5,7.250601589,0.277024775,0.769729425,0.074235808,0
4.85401E-5,7.501566718,0.279248043,0.764844044,0.075691412,0
4.90898E-5,7.750539682,0.281520298,0.760052612,0.075691412,0
4.96552E-5,8.002229949,0.283842279,0.75526118,0.075691412,0
5.00697E-5,8.251548736,0.285535238,0.750563698,0.075691412,0
5.05064E-5,8.503021023,0.287310002,0.745866216,0.075691412,0
5.08628E-5,8.751281465,0.288751846,0.741262683,0.075691412,0
5.12151E-5,9.001312989,0.290171618,0.736659151,0.075691412,0
5.16622E-5,9.25334924,0.291965113,0.732055618,0.07860262,0
5.19921E-5,9.502174991,0.293282729,0.727546035,0.081513828,0
5.23668E-5,9.752576348,0.294773422,0.723036452,0.081513828,0
5.26473E-5,10.004540307,0.29588509,0.71852687,0.084425036,0
5.29541E-5,10.252627989,0.297097132,0.714111236,0.08588064,0
5.32669E-5,10.502384004,0.298328677,0.709695603,0.08588064,0
5.36014E-5,10.753616104,0.299640829,0.70527997,0.08588064,0
5.38287E-5,11.000695237,0.300529586,0.700958286,0.088791849,0
5.41857E-5,11.254411439,0.301920758,0.696542653,0.088791849,0
5.45507E-5,11.504404186,0.303337521,0.69222097,0.090247453,0
5.48843E-5,11.750724527,0.304627604,0.687993236,0.093158661,0
5.51653E-5,12.003825001,0.305710376,0.683671552,0.093158661,0
5.53818E-5,12.252540731,0.306542356,0.679443818,0.093158661,0
5.56812E-5,12.502502298,0.307689942,0.675216084,0.093158661,0
5.59223E-5,12.753618102,0.30861079,0.67098835,0.094614265,0
5.61776E-5,13.000215348,0.309583783,0.666854566,0.094614265,0
5.63978E-5,13.253592077,0.310420539,0.662626832,0.094614265,0
5.66657E-5,13.502367185,0.311435866,0.658493048,0.096069869,0
5.6855E-5,13.752109026,0.312151364,0.654359263,0.096069869,0
5.71019E-5,14.002793153,0.313082533,0.650225479,0.096069869,0
5.72922E-5,14.254427889,0.31379843,0.646091695,0.096069869,0
5.75785E-5,14.501471317,0.314872723,0.64205186,0.098981077,0
5.78114E-5,14.75540705,0.315744243,0.637918076,0.098981077,0
5.80804E-5,15.004549502,0.316748143,0.633878241,0.100436681,0
5.83105E-5,15.254813169,0.317604629,0.629838407,0.104803493,0
5.85751E-5,15.500448678,0.318586584,0.625892522,0.104803493,0
5.8751E-5,15.752692433,0.319238021,0.621852687,0.113537118,0
5.90107E-5,16.000017595,0.320197085,0.617906802,0.114992722,0
5.9273E-5,16.254383103,0.32116319,0.613866967,0.11790393,0
5.9559E-5,16.50399745,0.322213683,0.609921082,0.120815138,0
5.97771E-5,16.754579949,0.323012373,0.605975197,0.122270742,0
6.00063E-5,17.000102612,0.323850009,0.602123262,0.125181951,0
6.02688E-5,17.252713228,0.324806588,0.598177377,0.129548763,0
6.04671E-5,17.500257952,0.325527145,0.594325442,0.131004367,0
6.06623E-5,17.754675572,0.326235318,0.590379557,0.133915575,0
6.08136E-5,18.003724097,0.32678309,0.586527621,0.135371179,0
6.10104E-5,18.253502733,0.327494289,0.582675686,0.135371179,0
6.11809E-5,18.504016296,0.32810909,0.57882375,0.135371179,0
6.13443E-5,18.755251585,0.328697333,0.574971815,0.136826783,0
6.1563E-5,19.001064731,0.329483331,0.571213829,0.142649199,0
6.17292E-5,19.253781784,0.330078935,0.567361894,0.145560408,0
6.19889E-5,19.501202638,0.331007966,0.563603908,0.145560408,0
6.22224E-5,19.755848093,0.331841138,0.559751973,0.147016012,0
6.24044E-5,20.005104643,0.332489204,0.555993987,0.148471616,0
6.26121E-5,20.255126954,0.333226995,0.552236002,0.151382824,0
6.28198E-5,20.505997916,0.33396318,0.548478016,0.152838428,0
6.30029E-5,20.751380346,0.334610851,0.54481398,0.152838428,0
6.31294E-5,21.003670859,0.33505763,0.541055994,0.15720524,0
6.33682E-5,21.250332592,0.33589942,0.537391958,0.158660844,0
6.3588E-5,21.504238699,0.336672035,0.533633972,0.163027656,0
6.37502E-5,21.752502919,0.337241172,0.529969936,0.167394469,0
6.38982E-5,22.001446699,0.33775976,0.5263059,0.168850073,0
6.3996E-5,22.250843135,0.338102087,0.522641864,0.170305677,0
6.41524E-5,22.500732175,0.338648578,0.518977828,0.171761281,0
6.43143E-5,22.751172925,0.339213231,0.515313792,0.173216885,0
6.45747E-5,23.002615909,0.340119419,0.511649756,0.177583697,0
6.48127E-5,23.254888784,0.340945654,0.50798572,0.184861718,0
6.50597E-5,23.501705145,0.341801008,0.504415633,0.18922853,0
6.534E-5,23.755950517,0.342768652,0.500751597,0.195050946,0
6.55942E-5,24.004783139,0.343643983,0.497181511,0.200873362,0
6.58184E-5,24.25450578,0.344414036,0.493611424,0.202328967,0
6.60815E-5,24.505156475,0.345315172,0.490041338,0.212518195,0
6.63678E-5,24.750237409,0.346293148,0.486565201,0.216885007,0
6.66922E-5,25.00305024,0.347397833,0.482995115,0.225618632,0
6.70734E-5,25.250539685,0.348691377,0.479518978,0.231441048,0
6.73565E-5,25.5058943,0.349648501,0.475948891,0.232896652,0
6.77115E-5,25.755811871,0.350844633,0.472472755,0.244541485,0
6.79668E-5,26.000060592,0.35170227,0.469090567,0.244541485,0
6.83433E-5,26.252139426,0.352962909,0.465614431,0.247452693,0
6.85905E-5,26.505425396,0.35378788,0.462138294,0.251819505,0
6.90965E-5,26.753314677,0.355469998,0.458756107,0.254730713,0
6.95276E-5,27.002811271,0.356896249,0.45537392,0.254730713,0
6.99044E-5,27.253740406,0.358137746,0.451991732,0.254730713,0
7.02889E-5,27.506061975,0.359399798,0.448609545,0.257641921,0
7.06694E-5,27.752854012,0.360643634,0.445321308,0.257641921,0
7.10461E-5,28.00098829,0.3618702,0.44203307,0.257641921,0
7.1418E-5,28.250392161,0.363076796,0.438744833,0.257641921,0
7.186E-5,28.501126204,0.364504787,0.435456595,0.257641921,0
7.22639E-5,28.753337921,0.365803968,0.432168358,0.259097525,0
7.26355E-5,29.006890357,0.366994892,0.42888012,0.259097525,0
7.30232E-5,29.254509883,0.368232404,0.425685832,0.259097525,0
7.3461E-5,29.503595183,0.369624048,0.422491545,0.259097525,0
7.38501E-5,29.754063466,0.37085575,0.419297257,0.26055313,0
7.44071E-5,30.006096164,0.372610771,0.416102969,0.262008734,0
7.49873E-5,30.252517692,0.374428267,0.413002631,0.264919942,0
7.53945E-5,30.500713012,0.375697695,0.409902292,0.26783115,0
7.58328E-5,30.750240791,0.377058093,0.406801954,0.26783115,0
7.62907E-5,31.001152944,0.378473237,0.403701616,0.269286754,0
7.68509E-5,31.253917262,0.380195668,0.400601278,0.272197962,0
7.72934E-5,31.500508103,0.381549607,0.397594889,0.273653566,0
7.77769E-5,31.756506989,0.383022308,0.394494551,0.27510917,0
7.8431E-5,32.006441048,0.385003246,0.391488162,0.276564774,0
7.89088E-5,32.250360589,0.386442209,0.388575723,0.282387191,0
7.94358E-5,32.50392081,0.388021722,0.385569335,0.282387191,0
7.98216E-5,32.750736101,0.389172757,0.382656896,0.283842795,0
8.03069E-5,33.006977908,0.390614672,0.379650507,0.283842795,0
8.08891E-5,33.256805495,0.392335365,0.376738068,0.285298399,0
8.15117E-5,33.500365885,0.394164883,0.373919579,0.285298399,0
8.20808E-5,33.754037898,0.39582755,0.37100714,0.286754003,0
8.26411E-5,34.001227796,0.397455675,0.368188651,0.288209607,0
8.34138E-5,34.25041442,0.399686747,0.365370162,0.289665211,0
8.3944E-5,34.501565879,0.401207947,0.362551672,0.289665211,0
8.45549E-5,34.754487371,0.40295124,0.359733183,0.291120815,0
8.51043E-5,35.00058618,0.404510131,0.357008643,0.292576419,0
8.57268E-5,35.256808277,0.406267105,0.354190154,0.294032023,0
8.63288E-5,35.506396391,0.407955975,0.351465614,0.296943231,0
8.68484E-5,35.757563749,0.40940629,0.348741075,0.29985444,0
8.73661E-5,36.001572484,0.410843997,0.346110485,0.301310044,0
8.78474E-5,36.255749401,0.412174368,0.343385945,0.304221252,0
8.82843E-5,36.502391673,0.413376991,0.340755355,0.304221252,0
8.8639E-5,36.750050716,0.414349627,0.338124765,0.30713246,0
8.91648E-5,37.007989456,0.415785514,0.335400225,0.310043668,0
8.96682E-5,37.258340768,0.41715383,0.332769635,0.312954876,0
9.00644E-5,37.500996806,0.418226055,0.330232995,0.312954876,0
9.04248E-5,37.753766721,0.419198035,0.327602405,0.312954876,0
9.09686E-5,38.007482496,0.420658573,0.324971815,0.31441048,0
9.16266E-5,38.25413944,0.422416101,0.322435175,0.315866084,0
9.22305E-5,38.502375306,0.424019601,0.319898534,0.318777293,0
9.26282E-5,38.751943911,0.425070731,0.317361894,0.318777293,0
9.30528E-5,39.002603794,0.426189033,0.314825254,0.320232897,0
9.36992E-5,39.254667646,0.427882791,0.312288613,0.321688501,0
9.42218E-5,39.508330783,0.429244794,0.309751973,0.323144105,0
9.46769E-5,39.75385877,0.430425809,0.307309282,0.326055313,0
9.54381E-5,40.001120657,0.432389908,0.304866592,0.326055313,0
9.59871E-5,40.259476104,0.433798281,0.302329951,0.327510917,0
9.65742E-5,40.500143392,0.435296475,0.29998121,0.330422125,0
9.71025E-5,40.751862627,0.436638083,0.297538519,0.331877729,0
9.78834E-5,41.0053358,0.438609437,0.295095829,0.336244541,0
9.8298E-5,41.250568563,0.439650293,0.292747088,0.33915575,0
9.87851E-5,41.506766225,0.440868509,0.290304397,0.342066958,0
9.92374E-5,41.754353451,0.441994918,0.287955656,0.343522562,0
9.99057E-5,42.00322218,0.443650854,0.285606915,0.349344978,0
1.00643E-4,42.254043305,0.445467149,0.283258174,0.352256186,0
1.01281E-4,42.506425714,0.447029177,0.280909433,0.35371179,0
1.01849E-4,42.750280912,0.448411926,0.278654641,0.355167394,0
1.02675E-4,43.005817858,0.450409435,0.2763059,0.355167394,0
1.03278E-4,43.253049573,0.451859289,0.274051109,0.359534207,0
1.03966E-4,43.501806459,0.453503718,0.271796317,0.362445415,0
1.0482E-4,43.752064666,0.455533572,0.269541526,0.362445415,0
1.05487E-4,44.004394655,0.457107467,0.267286734,0.365356623,0
1.06314E-4,44.258657675,0.459045708,0.265031943,0.366812227,0
1.07017E-4,44.504022501,0.460681954,0.262871101,0.371179039,0
1.07963E-4,44.751178933,0.462869926,0.260710259,0.371179039,0
1.08716E-4,45.000459828,0.464596801,0.258549418,0.375545852,0
1.09301E-4,45.251252021,0.465933799,0.256388576,0.377001456,0
1.09966E-4,45.503512942,0.467442199,0.254227734,0.379912664,0
1.10461E-4,45.757027372,0.468560463,0.252066892,0.379912664,0
1.1112E-4,46.00052643,0.470041896,0.25,0.382823872,0
1.11884E-4,46.25693878,0.471750465,0.247839158,0.382823872,0
1.12456E-4,46.503766622,0.473020044,0.245772266,0.38573508,0
1.13112E-4,46.752034945,0.474471163,0.243705374,0.3930131,0
1.13657E-4,47.001527834,0.475668908,0.241638482,0.400291121,0
1.13956E-4,47.25194776,0.476325305,0.23957159,0.403202329,0
